avg_reward,avg_episode,avg_step,avg_time,flops_per_step,flops_per_episode,total_flops,reward_per_flops
-289.838,-1,-1,-1,9728,-9728,9728,-0.03

Episode,Score,Average Reward,Convergence Episode,Convergence Step,Convergence Time
0,-268.54280318184897,-268.54280318184897,-1,-1,-1
1,-111.97393253461253,-190.25836785823074,-1,-1,-1
2,-108.19297396305244,-162.90323655983798,-1,-1,-1
3,-183.90409273179506,-168.15345060282726,-1,-1,-1
4,-77.35950186509284,-149.9946608552804,-1,-1,-1
5,-276.29843120447504,-171.0452892468128,-1,-1,-1
6,-67.44015992631897,-156.24455648674228,-1,-1,-1
7,-196.93241577316613,-161.33053889754527,-1,-1,-1
8,-88.94030719169926,-153.28717981911794,-1,-1,-1
9,-321.1401213885871,-170.07247397606483,-1,-1,-1
10,-83.00363396553061,-162.15712488419808,-1,-1,-1
11,-94.51710578443411,-156.5204566258844,-1,-1,-1
12,-105.02302478866162,-152.5591157153288,-1,-1,-1
13,-153.5963480268946,-152.6332037375835,-1,-1,-1
14,-116.96989714724128,-150.25564996489402,-1,-1,-1
15,-209.92722997239838,-153.98512371536304,-1,-1,-1
16,-307.94247699395834,-163.04143861410395,-1,-1,-1
17,-195.676409036411,-164.85449252645432,-1,-1,-1
18,-262.3327788689031,-169.9849286497411,-1,-1,-1
19,-87.31132308350911,-165.8512483714295,-1,-1,-1
20,-223.24853996159382,-168.5844527328659,-1,-1,-1
21,-76.09476101866962,-164.38037583676606,-1,-1,-1
22,-61.659331012445506,-159.91424345309994,-1,-1,-1
23,-110.82718676306621,-157.86894942434853,-1,-1,-1
24,-101.60412544099134,-155.61835646501424,-1,-1,-1
25,-203.35645690482067,-157.45443725116067,-1,-1,-1
26,-120.9211848225702,-156.10135382787954,-1,-1,-1
27,-136.72863588174454,-155.409471044089,-1,-1,-1
28,-123.2412107022846,-154.30022068747505,-1,-1,-1
29,-47.907635950511235,-150.75380119624293,-1,-1,-1
30,-93.13968724473226,-148.8952813913555,-1,-1,-1
31,-160.07264036608248,-149.24457385931572,-1,-1,-1
32,-171.6703226286643,-149.92414200384144,-1,-1,-1
33,-62.105626957189806,-147.34124450246935,-1,-1,-1
34,-148.65249487418237,-147.378708798804,-1,-1,-1
35,-169.9602182772317,-148.00597295098254,-1,-1,-1
36,-59.81816631894999,-145.62251871768436,-1,-1,-1
37,-192.89582869073922,-146.8665531906595,-1,-1,-1
38,-73.68213048404255,-144.99002953151546,-1,-1,-1
39,-181.2563752282984,-145.89668817393505,-1,-1,-1
40,-140.26575640551698,-145.75934837470533,-1,-1,-1
41,-18.160708384379788,-142.72128551779284,-1,-1,-1
42,-114.44713544856818,-142.06374714408994,-1,-1,-1
43,-124.58005987215132,-141.66639061518225,-1,-1,-1
44,-97.40297732061993,-140.6827592086364,-1,-1,-1
45,-161.27346180543904,-141.13038317813215,-1,-1,-1
46,-96.32171351013801,-140.17700722774927,-1,-1,-1
47,-35.34171258174052,-137.99293858929076,-1,-1,-1
48,-97.67368682278993,-137.17009671650501,-1,-1,-1
49,-78.56772993908987,-135.99804938095673,-1,-1,-1
50,-63.44679317807119,-134.57547572991976,-1,-1,-1
51,-66.59745337901077,-133.26820606932534,-1,-1,-1
52,63.38860116128578,-129.55770027252134,-1,-1,-1
53,-61.12365468660951,-128.29040313204152,-1,-1,-1
54,-84.52301119498041,-127.49463236954948,-1,-1,-1
55,-64.45622960324991,-126.36894660586556,-1,-1,-1
56,-99.26906348327249,-125.89351005985516,-1,-1,-1
57,-143.69751433928104,-126.20047565087974,-1,-1,-1
58,-195.9356303267802,-127.38242742504755,-1,-1,-1
59,-74.7724333847211,-126.5055941910421,-1,-1,-1
60,12.628216469917518,-124.22471204905916,-1,-1,-1
61,-185.69796431698785,-125.21621611789672,-1,-1,-1
62,-50.80113785403118,-124.03502439942267,-1,-1,-1
63,-33.810720305138744,-122.62526964794948,-1,-1,-1
64,-45.92605849008088,-121.44528178398228,-1,-1,-1
65,-114.46765038401182,-121.33956009610394,-1,-1,-1
66,-311.6989907706005,-124.18074562855911,-1,-1,-1
67,-125.69833896769616,-124.20306317766408,-1,-1,-1
68,-82.56698396376751,-123.5996417397815,-1,-1,-1
69,-117.34028567258517,-123.51022236739297,-1,-1,-1
70,-165.96766535079217,-124.10821452208873,-1,-1,-1
71,-87.13372032974793,-123.59467988052845,-1,-1,-1
72,-84.22818717609692,-123.05541285718007,-1,-1,-1
73,-72.69254107462015,-122.37483350876711,-1,-1,-1
74,-22.78780741028571,-121.0470064941207,-1,-1,-1
75,-83.05043457847067,-120.54705160049372,-1,-1,-1
76,-125.75510292695449,-120.61468863070749,-1,-1,-1
77,-113.46556664331116,-120.52303322061267,-1,-1,-1
78,-82.06774175770249,-120.03625737931002,-1,-1,-1
79,14.741149948466543,-118.35153978771282,-1,-1,-1
80,-98.9667120142209,-118.11222092631168,-1,-1,-1
81,-75.79416360644997,-117.59614705655726,-1,-1,-1
82,-109.63997827306409,-117.50028960133446,-1,-1,-1
83,-3.0753035579243004,-116.13808738653195,-1,-1,-1
84,-76.73101540878685,-115.67447477502905,-1,-1,-1
85,-266.7280293496781,-117.43091145612964,-1,-1,-1
86,-63.87215725770635,-116.81529359177995,-1,-1,-1
87,-61.37554985045067,-116.18529650381029,-1,-1,-1
88,-25.72967092702767,-115.16894116025095,-1,-1,-1
89,-42.26493068860411,-114.35889659945487,-1,-1,-1
90,-50.466189562872174,-113.6567789397122,-1,-1,-1
91,-98.25941934775125,-113.48941633545175,-1,-1,-1
92,-116.73984602767106,-113.52436719235733,-1,-1,-1
93,-64.78072040853178,-113.00581775848684,-1,-1,-1
94,-121.84470010912449,-113.09885862533565,-1,-1,-1
95,-57.84002935982499,-112.52324582048658,-1,-1,-1
96,-74.36110071380585,-112.12982164412905,-1,-1,-1
97,-53.84747046781589,-111.53510377498299,-1,-1,-1
98,-139.1940355290934,-111.81448692401442,-1,-1,-1
99,-109.53838049079566,-111.79172585968223,-1,-1,-1
100,-81.80349793434593,-109.9243328072072,-1,-1,-1
101,-61.22825751333202,-109.41687605699441,-1,-1,-1
102,-25.701537665993143,-108.59196169402381,-1,-1,-1
103,-63.71122635147719,-107.39003303022062,-1,-1,-1
104,-52.19963787759073,-107.13843439034561,-1,-1,-1
105,-103.95164291184078,-105.41496650741927,-1,-1,-1
106,-70.94979120914388,-105.45006282024751,-1,-1,-1
107,-52.52042428057455,-104.00594290532159,-1,-1,-1
108,-58.698868654929655,-103.7035285199539,-1,-1,-1
109,0.3858581153899223,-100.48826872491416,-1,-1,-1
110,-14.145029455124643,-99.7996826798101,-1,-1,-1
111,-63.2276548015793,-99.48678816998155,-1,-1,-1
112,-16.036435962709035,-98.59692228172202,-1,-1,-1
113,-120.78083341184724,-98.26876713557152,-1,-1,-1
114,-90.96120677933278,-98.00868023189247,-1,-1,-1
115,-5.401818600048358,-95.96342611816897,-1,-1,-1
116,-4.318355454134629,-92.92718490277073,-1,-1,-1
117,-38.92907371312096,-91.35971154953785,-1,-1,-1
118,-74.91260144507653,-89.48550977529955,-1,-1,-1
119,-62.1513570012914,-89.23391011447738,-1,-1,-1
120,-20.28269721539415,-87.20425168701539,-1,-1,-1
121,-8.976864835336045,-86.53307272518205,-1,-1,-1
122,-108.15626495505995,-86.99804206460819,-1,-1,-1
123,-46.31824150134931,-86.352952611991,-1,-1,-1
124,-62.39291932760187,-85.9608405508571,-1,-1,-1
125,0.1390936548783941,-83.92588504526013,-1,-1,-1
126,-46.223915915453276,-83.17891235618896,-1,-1,-1
127,-64.9583597207895,-82.4612095945794,-1,-1,-1
128,13.59558606145093,-81.09284162694203,-1,-1,-1
129,-39.388256313836465,-81.0076478305753,-1,-1,-1
130,-49.04450874690357,-80.566696045597,-1,-1,-1
131,-85.82177636746266,-79.8241874056108,-1,-1,-1
132,-30.16265387769863,-78.40911071810115,-1,-1,-1
133,-84.65339217136416,-78.6345883702429,-1,-1,-1
134,-55.191367135118384,-77.69997709285227,-1,-1,-1
135,-88.14077979238587,-76.88178270800381,-1,-1,-1
136,8.62851118603264,-76.19731593295398,-1,-1,-1
137,-26.84474586662077,-74.5368051047128,-1,-1,-1
138,-14.309778392346331,-73.94308158379584,-1,-1,-1
139,-196.62921632938463,-74.0968099948067,-1,-1,-1
140,-8.822153887549803,-72.78237396962703,-1,-1,-1
141,-39.12147973294867,-72.99198168311271,-1,-1,-1
142,-63.11964233738847,-72.47870675200093,-1,-1,-1
143,-9.440363031149275,-71.32730978359089,-1,-1,-1
144,-39.428792740939215,-70.74756793779409,-1,-1,-1
145,-72.92270814894626,-69.86406040122917,-1,-1,-1
146,-13.056826344252812,-69.0314115295703,-1,-1,-1
147,-18.161439707875587,-68.85960880083167,-1,-1,-1
148,-63.94023158035371,-68.5222742484073,-1,-1,-1
